,name,community
0,Albania,0
1,Bahamas,0
2,Algeria,1
3,British Virgin Islands,1
4,United Kingdom,1
5,United States,2
6,Andorra,0
7,Cayman Islands,2
8,Cook Islands,1
9,Costa Rica,0
10,Hong Kong,1
11,Ireland,1
12,Latvia,1
13,Nevada,0
14,Niue,0
15,Panama,0
16,Russia,1
17,Samoa,2
18,Seychelles,0
19,Uruguay,0
20,Angola,1
21,Bermuda,2
22,China,1
23,Antigua and Barbuda,1
24,Barbados,2
25,Canada,1
26,Saint Kitts and Nevis,2
27,Argentina,0
28,Belarus,1
29,New Zealand,2
30,Switzerland,0
31,Armenia,1
32,Aruba,0
33,British Anguilla,0
34,Australia,1
35,Austria,2
36,Belize,0
37,Cyprus,1
38,Czech Republic,1
39,Germany,0
40,Isle of Man,1
41,Jersey,1
42,Labuan,3
43,Luxembourg,0
44,Malaysia,3
45,Netherlands,2
46,Singapore,1
47,South Africa,1
48,Sweden,2
49,Ukraine,1
50,United Arab Emirates,0
51,Azerbaijan,1
52,Gibraltar,1
53,Malta,4
54,Netherlands Antilles,2
55,Saint Lucia,2
56,Wyoming,0
57,Bahrain,1
58,Bangladesh,1
59,Mauritius,1
60,Belgium,1
61,Benin,1
62,Liberia,0
63,Liechtenstein,0
64,Turks and Caicos Islands,2
65,Vanuatu,1
66,Bhutan,1
67,Bolivia,0
68,Bosnia and Herzegovina,1
69,Botswana,0
70,Brazil,0
71,Croatia,1
72,Curaçao,2
73,Israel,0
74,Marshall Islands,2
75,State of Delaware,2
76,Thailand,1
77,Brunei,1
78,Bulgaria,0
79,Cambodia,1
80,Cameroon,0
81,Indonesia,1
82,Grenada,2
83,Guernsey,1
84,Saint Vincent and the Grenadines,2
85,US Virgin Islands,1
86,Central African Republic,1
87,Chad,1
88,Chile,0
89,France,2
90,Georgia,1
91,Kazakhstan,1
92,Serbia,1
93,Colombia,0
94,Congo,1
95,Cuba,2
96,Côte d'Ivoire,0
97,Denmark,2
98,Djibouti,1
99,Dominica,0
100,Dominican Republic,0
101,Ecuador,0
102,Egypt,0
103,El Salvador,0
104,Estonia,1
105,Fiji,1
106,Finland,0
107,French Guiana,2
108,French Polynesia,1
109,Gabon,1
110,Ghana,0
111,Greece,0
112,Guam,2
113,Guatemala,0
114,Guinea,0
115,Guyana,2
116,Haiti,0
117,Honduras,0
118,Japan,1
119,Kuwait,0
120,Portugal,0
121,South Korea,1
122,Taiwan,1
123,Hungary,0
124,Iceland,1
125,India,1
126,Iran,0
127,Italy,0
128,Jamaica,2
129,Jordan,1
130,Kenya,1
131,Kyrgyzstan,1
132,Laos,1
133,Lebanon,0
134,Lesotho,0
135,Libya,1
136,Lithuania,0
137,Macao,4
138,Macedonia,0
139,Madagascar,1
140,Malawi,1
141,Mali,1
142,Mexico,0
143,Moldova,1
144,Monaco,0
145,Mongolia,1
146,Montenegro,1
147,Morocco,0
148,Mozambique,0
149,Myanmar,1
150,Namibia,0
151,Nauru,1
152,Nepal,1
153,Nicaragua,0
154,Nigeria,2
155,Norfolk Island,2
156,Northern Mariana Islands,1
157,Norway,2
158,Oman,1
159,Pakistan,1
160,Palestine,1
161,Papua New Guinea,1
162,Paraguay,0
163,Peru,0
164,Philippines,1
165,Poland,0
166,Puerto Rico,2
167,Qatar,0
168,Romania,1
169,Saint Martin (French part),2
170,Saudi Arabia,2
171,Senegal,0
172,Sierra Leone,2
173,Sint Maarten (Dutch part),0
174,Slovakia,1
175,Slovenia,0
176,Spain,0
177,Sri Lanka,1
178,Sudan,0
179,Suriname,2
180,Syria,0
181,Tajikistan,1
182,Tanzania,1
183,Tonga,1
184,Trinidad and Tobago,2
185,Tunisia,1
186,Turkey,1
187,Turkmenistan,1
188,Uganda,1
189,Dubai,0
190,Uzbekistan,1
191,Venezuela,0
192,Vietnam,1
193,Yemen,0
194,Zambia,1
195,Zimbabwe,1
